focal_entity,candidate_entity,label
tommy hilfiger men shirt,"Tommy Hilfiger Men's Hooded Performance Soft Shell Jacket, red/white/navy, LARGE",False
tommy hilfiger men shirt,"Tommy Hilfiger Men's Modern Essentials French Terry Sweatshirt, Grey Heather/Hilfiger Color Block, M",False
tommy hilfiger men shirt,"Tommy Hilfiger Men's Long Sleeve Cotton T Shirt, Sky Captain/Multi, Large",False
bodycon maxi dress,Voghtic Tie dye Maxi Dress for Women Sleeveless Loose Plus Size Summer Dresses with Pockets,True
bodycon maxi dress,Women's Casual Summer Tye Die Tank Crop Top Maxi Skirt Set Bodycon 2 Piece Floral Dress Light Gray S,True
bodycon maxi dress,OLUOLIN Maxi Dresses for Women Bodycon Off The Shoulder Triple Color Block Long Dress,False
bodycon maxi dress,SSOULM Women's Shirring Racerback Tank Maxi Dress with Plus Size Olive XL,True
sony cd player,"HOTT CD511 Portable CD Player, Personal Compact CD Player with Headphones, Anti-Skip/Shockproof for Home Travel and Car, Small Music CD Walkman Discman with LCD Display for Adults Students Kids-Silver",True
sony cd player,Toshiba TY-CRS9 Portable CD Boombox with AM/FM Stereo and Aux Input,True
sony cd player,"Sony Stereo CD/Cassette Boombox Home Audio Radio, Black (CFDS70BLK), 13.7 x 6.1 x 9 inches",False
sony cd player,Portable Sony CD Player Boombox Digital Tuner AM/FM Radio Mega Bass Reflex Stereo Sound System,False
steve madden platform sandal,"Steve Madden Women's Slinky30 Wedge Sandal, Black, 7",True
steve madden platform sandal,"Steve Madden Women's IRENEE-L Sandal, Leopard, 8.5 M US",True
steve madden platform sandal,"Steve Madden Women's Travel Flat Sandal, Clear, 6.5",False
steve madden platform sandal,"Steve Madden Women's Teenie Wedge Sandal, Cognac Leather, 6",False
dell inspiron 15 i5,"2020 Dell Inspiron 15 15.6"" Touchscreen Laptop for Business and Student, 10th Gen Intel i3-1005G1(Up to 3.4GHz,Beat i5-8250U), 8GB RAM, 1TB HDD + 128GB SSD, HDMI 802.11ac Win10 w/HESVAP Accessories",True
dell inspiron 15 i5,"Dell Inspiron 5000 15.6 Inch FHD 1080P Touchscreen Laptop (Intel Core i7-1065G7 up to 3.9GHz, 16GB DDR4 RAM, 512GB SSD, Intel UHD Graphics, Backlit KB, HDMI, WiFi, Bluetooth, Win10)",True
dell inspiron 15 i5,"Latest_Dell Inspiron 15 5000 15.6"" FHD Display Laptop, 10th Generation Intel Core i5-1035G1 Processor, 8GB RAM, 256GB SSD, Fingerprint Reader, Wireless+Bluetooth, HDMI，Window 10",False
dell inspiron 15 i5,"2020 Newest Dell Inspiron 15 5000 Premium PC Laptop: 15.6"" FHD Anti-Glare NonTouch Display,10th Gen i5, 16GB RAM, 512GB SSD+1TB HDD, Intel UHD Graphics, WiFi, Bluetooth, HDMI, Webcam, Backlit-KB,Win10",False
hobart champion 145,"Generac 7676 GP8000E Portable Generator, Orange, Black",False
hobart champion 145,Pulsar G12KBN Heavy Duty Portable Dual Fuel Generator - 9500 Rated Watts & 12000 Peak Watts - Gas & LPG - Electric Start - Transfer Switch & RV Ready - CARB Compliant,False
hobart champion 145,10'' SIDE-BY-SIDE FIXED BASE WELDING LEAD REEL,False
hobart champion 145,"Champion Power Equipment 100554 4375/3500-Watt RV Ready Portable Generator with Wireless Remote Start, CARB",False
polaroid wireless headset,"Bluetooth Headphones, Riwbox CT-7 Cat Ear LED Light Up Wireless Foldable Headphones Over Ear with Microphone and Volume Control for iPhone/iPad/Smartphones/Laptop/PC/TV (White&Pink)",True
polaroid wireless headset,"MindKoo Wireless Headphones Bluetooth, Cat Ear Over Ear Headphones, LED Light Up 7 Color Blinking, Safe Foldable Headset Stero, with Microphone, for Kids Adults",True
polaroid wireless headset,Polaroid PBT83BK Universal Wireless Tangle Free Bluetooth Headphones with Mic Compatible with All Bluetooth Devices (Black),False
pokemon shield nintendo switch,Pokémon Sword + Pokémon Sword Expansion Pass - [Switch Digital Code],True
pokemon shield nintendo switch,PowerA Enhanced Wireless Controller for Nintendo Switch - Pokemon Graffiti - Nintendo Switch,False
pokemon shield nintendo switch,PowerA Pokemon Enhanced Wireless Controller for Nintendo Switch - Sobble,False
nike pegasus 36 women,Nike Women's Zoom Pegasus 35 Turbo AJ4115-301 Size US 8 EU 39 Teal,True
nike pegasus 36 women,Nike Zoom Pegasus Turbo 2 Women's Running Shoe Pink Blast/White-Black-True Berry 11,True
nike pegasus 36 women,Nike Women's Air Zoom Pegasus 36 Echo Pink/Metallic Red Bronze CT1187-600 (Size: 8.5),False
nike pegasus 36 women,Nike Women's Air Zoom Pegasus 36 University Red/Sail/Black/Metallic Gold CT1150-600 (Size: 7),False
calvin klein baby hat,"Calvin Klein Newborn Infant Layette, 6, 8 or 12 Piece Set, Assorted-12",False
calvin klein baby hat,"Zsedrut Newborn Hat Baby Boys Girls Beanies 0-4Months Squinting Rabbit Ears (White Rabbit, 0-4 Months)",False
calvin klein baby hat,"Calvin Klein Baby 5 Pack of Bibs, one-size",False
calvin klein baby hat,"Calvin Klein Baby 3PK Hats, Signature Alphabet Pack, One Size Fits All",False
skechers on-the-go 400,"Skechers Women's ON-The-GO 600-BRILLIANCY Sport Sandal, Black, 6 W US",True
skechers on-the-go 400,"Skechers Women's GO Run 600-SUNRISE Slide Sandal, black, 9 M US",True
skechers on-the-go 400,"Skechers Performance Women's On The Go Cozies Winter Boot, Grey/Black 8.5 M US",False
skechers on-the-go 400,"Skechers Performance on The Go 400-14405 Women's Slip on Shoe (8.5 B(M) US, Black-Grey)",False
yamaha outboard switch key,"DTLgear Universal Outboard Kill Switch Keys - 11 Keys & Lanyard - 60"" Long",True
yamaha outboard switch key,XtremeAmazing 12V Single Engine Key Switch Panel Assembly for Yamaha Outboard Yacht 704-82570-12-00 704-82570-11-00 704-82570-08-00,True
yamaha outboard switch key,RUPSE Outboard Key Switch Panel for Yamaha 704-82570-08-00 (Black Dual Engine),True
monk sugar organic 3lb,"Milliard Monk Fruit Sweetener 1:1 Sugar Replacement, 0 Calories White Monkfruit with Erythritol",True
monk sugar organic 3lb,"Organic Monk Fruit Sweetener with Erythritol Granular - 1:1 Sugar Substitute, Keto - 0 Calorie, 0 Net Carb, Non-GMO (Organic, 2.5 Pounds)",True
monk sugar organic 3lb,"Lakanto Golden Monk Fruit Sweetener - Raw Cane Sugar Substitute, Zero Calorie, Keto Diet Friendly, Zero Net Carbs, Zero Glycemic, Baking, Extract, Sugar Replacement (Golden - 3 lb)",False
monk sugar organic 3lb,"Health Garden Monk Fruit Sweetener, Golden- Non GMO - Gluten Free - Sugar Substitute - Kosher - Keto Friendly (3 lbs)",False
babyganics eczema cream,"The Honest Company Soothing Therapy Eczema Cream, 7 Ounce",True
babyganics eczema cream,Babyganics - Moisturizing Daily Lotion with Chamomile Verbena - 2 Fluid Ounce Bottle - Pack of 3,False
babyganics eczema cream,Babyganics Eczema Care Skin Protectant Cream Bundle - 3 Items: Three 8 oz Creams,False
babyganics eczema cream,"Babyganics Eczema Spot Treatment, 1oz, 2 pack, Packaging May Vary",False
calvin klein flared dresses,"Calvin Klein Women's Flared Pinstripe Pants (16, Twilight)",False
calvin klein flared dresses,"No Nonsense Women's Sport Yoga Pant, Black, X-Large",False
calvin klein flared dresses,"Calvin Klein Women's Sleeveless Pleated Neck Dress with Flared Skirt and Sash Wrap, Seaglass, 14",False
calvin klein flared dresses,"2019 New Women Maxi Dress Autumn Summer Beach Halter Slip Lace Bohemia Casual Long Sleeve Loose Classical Dress (Blue A, S)",False
jack skellington plates,"Party City The Nightmare Before Christmas Party Supplies for 32 Guests, Halloween Decorations, Includes Centerpieces",True
jack skellington plates,"Black and White Party Bundle, Includes Plates, Napkins, Cups, and Cutlery (24 Guests,144 Pieces)",True
jack skellington plates,"Halloween Pumpkin King 3D Illusion Night Light, Anime Table Lamp with Remote Control Jack Skellington Decor for Kids Bedroom, Creative Lighting for Kids and Jack Skellington Fans",False
jack skellington plates,Chawuux Aluminum Universal License Plate Frames - Jack Halloween Skellington,False
molle bottle carrier 36oz,"Barbarians Water Bottle Carrier, Bottle Pouch Holder with Adjustable Shoulder/Hand Strap with 2 Pockets for 16oz 17oz 20oz 24oz 25oz 32oz 40oz, Black",True
molle bottle carrier 36oz,"OYATON Insulated Water Bottle Holder With Strap for 32 oz Water Bottles, Bottle Carrier Bag Case Pouch Cover With 4.7 Inches Pocket for Walking Gym Travel Hiking, Keep Drinks Cool(Exclude Bottle)",True
molle bottle carrier 36oz,"Exo-Tek H2O MOLLE Water Bottle Pouch Hydration Carrier – Use as MOLLE Water Bottle Holder, Water Pouch, Hydration Carrier – Fits Up to 40 oz. Wide-Mouth Bottles (OD Green)",False
molle bottle carrier 36oz,JFFCESTORE Minimalist Adjustable MOLLE Water Bottle Holder Kettle Pouch Belt Bottle Carrier for 17-42Oz Water Bottle (Black),False
toyota corolla accessories,"Motor Trend 923-BK Black FlexTough Contour Liners-Deep Dish Heavy Duty Rubber Floor Mats for Car SUV Truck & Van-All Weather Protection, Universal Trim to Fit",True
toyota corolla accessories,"Motor Trend FlexTough Performance All Weather Rubber Car Floor Mats - 3 Piece Odorless Floor Mats for Cars Truck SUV, BPA-Free Automotive Floor Mats, Heavy-Duty Waterproof Liners (Black)",True
toyota corolla accessories,GEERUI Compatible 4PCS Threshold Protection Sticker Reflective Carbon Fiber Sticker Decorative Door Entry Guard Door Threshold Scratch Pad Film for Co Rolla. (Red),False
toyota corolla accessories,SMARTLINER Custom Fit Floor Mats 2 Rows and Cargo Liner Trunk Set Black for 2020-2022 Toyota Corolla (Non-Hybrid Sedan Models Only),False
columbia vest women,"Columbia womens Benton Springs Full Zip Fleece Jacket, Charcoal Heather, Large US",True
columbia vest women,"Columbia Women's Plus Size Benton Springs Vest, Aquatint, 2X",False
columbia vest women,"Columbia Women's McKay Lake Lightweight Down Puffer Vest (Black, M)",False
honda leaf blower,Landworks Leaf-Snow Blower Wheeled Walk Behind Jet Sweep Manual-Propelled Powerful 7HP 4 Stroke OHV Motor Output Wind Force of 200 MPH / 2000 CFM at 3600RPM Aids in Fire Prevention,True
honda leaf blower,"Craftsman B215 25cc 2-Cycle Engine Handheld Gas Powered Leaf Blower - Gasoline Blower with Nozzle Extension for Lawn Care, Liberty Red",True
honda leaf blower,Makita EB7660WH 75.6 cc MM4 4-Stroke Engine Hip Throttle Backpack Blower,True
honda leaf blower,Honda SSBL 196 MPH VersAttach Powerhead Blower Attachment,False
bmw i8 toy car,"The BMW i8 Spyder, RS Renault at Silverstone, Abu Dhabi Desert Challenge",False
bmw i8 toy car,PowerTRC 1:24 Rastar BMW I8 Concept Remote Control Sports Car | Racing Toy | Silver,False
bmw i8 toy car,HZPOWEN NEW 6 Volt Battery Charger for Child Ride On Car Rollplay Porsche 918 BMW X5 Audi R8 Spyder Kid Trax Disney Frozen White Toddler Wildfire Quad,False
mens prada sport sweater,MOERDENG Men's Waterproof Ski Jacket Warm Winter Snow Coat Mountain Windbreaker Hooded Raincoat,False
mens prada sport sweater,Wantdo Men's Hooded Winter Coat Warm Puffer Jacket Waterproof Long Parka Dark Gray L,False
mens prada sport sweater,LisaJYancey The Devil Wears Prada Hoodie Fashion Sport Hip Hop Hoodie Sweater Pullover Sweatshirt XL Black,False
mens prada sport sweater,"Hurley Men's Phantom Ripstop Curved Bill Baseball Cap, Black/Black, S-M",False
kingston hyperx fury 8gb,Kingston HyperX FURY 4GB 1600MHz DDR3 CL10 DIMM - Blue (HX316C10F/4),False
kingston hyperx fury 8gb,Kingston HyperX FURY 16GB Kit (2x8GB) 1600MHz DDR3 CL10 DIMM - Red (HX316C10FRK2/16),True
kingston hyperx fury 8gb,HyperX Fury 16GB 2666MHz DDR4 CL16 DIMM (Kit of 2) 1Rx8  Black XMP Desktop Memory HX426C16FB3K2/16,False
kingston hyperx fury 8gb,HyperX Fury 8GB 2666MHz DDR4 CL16 DIMM 1Rx8  RGB XMP Desktop Memory Single Stick HX426C16FB3A/8,False
spirit xt385 treadmill,"DR.GYMLEE Folding Treadmill 300 LB Capacity for Home, 15% Auto Incline 3.5 HP Running Machine& Strong Shock Absorption, Easy Assembly & Space Saver for Home Office Workout…",True
spirit xt385 treadmill,"OMA Treadmills for Home 5108EB, Max 2.25 HP Folding Incline Treadmills for Running and Walking Jogging Exercise with 36 Preset Programs, Tracking Pulse, Calories - 2021 Updated Version",True
spirit xt385 treadmill,"UREVO 2 in 1 Under Desk Treadmill, 2.5HP Folding Electric Treadmill Walking Jogging Machine for Home Office with Remote Control",False
spirit xt385 treadmill,XTERRA Fitness TR150 Folding Treadmill Black,True
neutrogena spray sunscreen 100,"Neutrogena Ultra Sheer Face Mist Sunscreen Spray Broad Spectrum SPF 55 Lightweight NonGreasy Water Resistant OilFree NonComedogenic UVAUVB Sunscreen Mist, 3.4 Fl Oz",True
neutrogena spray sunscreen 100,"Neutrogena Beach Defense Sunscreen Spray SPF 50 Water-Resistant Sunscreen Body Spray with Broad Spectrum SPF 50, PABA-Free, Oxybenzone-Free & Fast-Drying, Superior Sun Protection, 6.5 oz",True
neutrogena spray sunscreen 100,"Neutrogena Beach Defense Spray Sunscreen with Broad Spectrum UVA/UVB SPF 100, Fast Absorbing Sunscreen Spray, Water-Resistant and Oil-Free Sun Protection, SPF 100, 6.5 oz",False
neutrogena spray sunscreen 100,"Neutrogena CoolDry Sport Sunscreen Spray, with Broad Spectrum SPF 100 UVA/UVB Protection, Sweat- & Water-Resistant, PABA-Free with a Lightweight, Oil-Free Formula, 5 oz",False
otterbox ipad 10.2,"Hongxinyu Kids iPad Case for iPad 9th / 8th / 7th Generation (2021/2020/2019) 10.2 Inch, Slim Duty Drop Proof Shockproof Protective Cover with Kickstand for Apple iPad 10.2 inch (Grey&Aqua)",True
otterbox ipad 10.2,iPad 10.2 Case - iPad 9th Generation Case Waterproof iPad 8th Generation Case 2020 iPad 7th Generation case 2019 Full Protection Shockproof Anti-Scratch Case with Strap Stand Pencil Holder,True
otterbox ipad 10.2,"OTTERBOX SYMMETRY CLEAR SERIES Case for iPad 7th, 8th & 9th Gen (10.2"" Display - 2019, 2020 & 2021 version) - CLEAR",False
otterbox ipad 10.2,"OTTERBOX DEFENDER SERIES Case for iPad 7th, 8th & 9th Gen (10.2"" Display - 2019, 2020 & 2021 version) - BLACK",False
nike sports bra,"Nike Women's Pro 3"" Training Shorts (Black White, Small)",False
nike sports bra,"Under Armour Women's Armour Mid Keyhole Sports Bra , Black (001)/Metallic Silver , Medium",True
nike sports bra,Nike Swoosh Women's Medium-Support 1-Piece Pad Sports Bra BV3636-084 Size S,False
nike sports bra,"Nike Women's Medium Support Non Padded Sports Bra with Band, White/Black/(Black), Large",False
ugg women pajamas,"UGG Women's Pant, Grey Heather, S",True
ugg women pajamas,"UGG Women's W Duffield II, seal heather, S",False
ugg women pajamas,UGG Women's Stripe Set 1108471 M California Aster Strip,True
ugg women pajamas,"UGG Women's PJ Set with Shorts, LA Sunset Dots, S",False
simalac baby formula,"Gerber Good Start Soothe (HMO) Non-GMO Powder Infant Formula, Stage 1, With Iron, 2’-FL HMO and Probiotics for Digestive Health and Immune System Support, 30.6 Ounces",True
simalac baby formula,"Similac Pro-Advance®* Infant Formula with Iron, 3 Count, with 2’-FL HMO for Immune Support, Non-GMO, Baby Formula Powder, 36-Ounce Cans",False
simalac baby formula,"Similac Pro-Advance Infant Formula with 2’-FL HMO for Immune Support, Ready to Feed Newborn Bottles, 2 fl oz, ( Special Discount Offer)(48 Count)",False
mylab statistics sullivan textbook,"Precalculus: Concepts Through Functions, A Right Triangle Approach to Trigonometry Plus MyLab Math with eText -- 24-Month Access Card Package (Corequisite Course Solutions for Math & Statistics)",False
mylab statistics sullivan textbook,MyMathLab/MyStatLab: Student Version,False
mylab statistics sullivan textbook,"Fundamentals of Statistics, Books a la Carte Edition plus NEW MyLab Statistics with Pearson etext -- Access Card Package",True
mylab statistics sullivan textbook,Interactive Statistics: Informed Decisions Using Data Student Access Kit (Interactive MyLab Math and MyLab Statistics Courses),True
nuwave bravo 10 qaurt,"NUWAVE BRIO 6-Quart Digital Air Fryer (Gourmet/Grill Kit) Easy Controls, 6 Presets, Temperature Probe; Includes Recipe Book, Basket Divider, Grill Pan, Non-Stick Baking Pan and Stainless-Steel Rack",True
nuwave bravo 10 qaurt,"Emeril Lagasse Power Air Fryer 360 Better Than Convection Ovens Hot Air Fryer Oven, Toaster Oven, Bake, Broil, Slow Cook and More Food Dehydrator, Rotisserie Spit, Pizza Function Cookbook Included Stainless Steel",True
nuwave bravo 10 qaurt,"NUWAVE BRIO 3-Quart Digital Air Fryer With Bonus Pan and Frying Rack with One-Touch Digital Controls, 6 Easy Presets, Precise Temperature Control, Recipe Book, Wattage Control, Preheat and Reheat",False
nuwave bravo 10 qaurt,"NuWave Brio 6-Quart Healthy Digital Smart Air Fryer with Probe One-Touch Digital Controls, Advanced Cooking Functions, Removable Divider Insert & Grill Pan (NEW ACCESSORY)",False
goodthreada cardigan wool,"Amazon Brand - Goodthreads Men's Soft Cotton Cardigan Summer Sweater, Black, Medium",True
goodthreada cardigan wool,"Amazon Brand - Goodthreads Men's Supersoft Marled Cardigan Sweater, Denim Large",False
goodthreada cardigan wool,"Amazon Brand - Goodthreads Men's Lambswool V-Neck Sweater, Heather Grey X-Large",True
goodthreada cardigan wool,"Amazon Brand - Goodthreads Women's Boucle Cardigan Sweater, Charcoal Heather, Medium",False
northface winter jacket woman,"OutdoorMaster Women's 3-in-1 Ski Jacket - Winter Jacket Set with Fleece Liner Jacket & Hooded Waterproof Shell - for Women (Black,M)",True
northface winter jacket woman,JASAMBAC Women's Rain Jacket Raincoats Waterproof Lightweight Outdoor Hooded Trench Coats Black M,True
northface winter jacket woman,"The North Face Women's Metropolis Insulated Parka III - Long Winter Coat, TNF Black, M",False
northface winter jacket woman,"The North Face Jim Beanie, Mid Grey/Asphalt Grey, OS",False
seiko kinetic gmt,Seiko 30th Anniversary GMT World Time Limited Edition Watch SPL060 Gold Brown,False
seiko kinetic gmt,Seiko Prospex Padi Solar SNE435P1,True
seiko kinetic gmt,Seiko Prospex GMT SUN061P1 Mens Wristwatch With kinetic movement,True
seiko kinetic gmt,Seiko SUN065 Special Edition Padi Kinetic GMT Diver Watch by Seiko Watches,False
brita bottle filter,"AQUACREST Water Bottle Filter, Replacement for Brita BB06, Brita Hard Sided, Sport and Stainless Steel Bottle Filter, 4 Count",True
brita bottle filter,"Brita Water Bottle Filter, Premium Water Bottle Replacement Filters, BPA Free, 3 Count",False
cuisinart coffee grinder parts,"DR MILLS DM-7451 Electric coffee grinder, Dried Spice, nut, herb Grinder, detachable cup, Dishwashable, SUS304 stianlees steel",False
cuisinart coffee grinder parts,"DR MILLS DM-7441 Electric Dried Spice and Coffee Grinder, Blade & cup made with SUS304 stianlees steel (black)",False
cuisinart coffee grinder parts,Cuisinart Burr Mill Coffee Grinder Electric 8 Oz.,False
cuisinart coffee grinder parts,12-Pack Replacement Charcoal Water Filters for Use with Cuisinart coffee machines,False
